valid , v1      , top       , verb                   , trans                                                                              , exmpls
0     , Block   , 2125      , Block up               , забиться (о канале)                                                                , The pipes must be blocked up :(
0     , Block   , 2213      , Block off              ,                                                                                    ,
1     , Blow    , 1044      , Blow out               , задуть (свечу)                                                                     , Blow out the candle. Make a wish.
1     , Blow    , 1052      , Blow up                , взрывать;накачивать/надувать                                                       , "Why did you blow up this warehouse?;I like blowing up the balloons."
0     , Blow    , 1117      , Blow over              , пройти/утихнуть                                                                    , This scandal won't blow over so easily.
1     , Blow    , 1126      , Blow down              , повалить (ветром)                                                                  , "The trees were blown down by the wind."
1     , Blow    , 1140      , Blow off               , сдуть                                                                              , "The wind blew off his Panama hat."
0     , Blow    , 1169      , Blow away              ,                                                                                    ,
0     , Blow    , 1534      , Blow past              ,                                                                                    ,
0     , Boil    , 7678      , Boil up                ,                                                                                    ,
0     , Boil    , 7743      , Boil over              ,                                                                                    ,
0     , Boil    , 7752      , Boil down              ,                                                                                    ,
0     , Boil    , 7766      , Boil off               ,                                                                                    ,
0     , Boil    , 7795      , Boil away              ,                                                                                    ,
0     , Bolt    , 6290      , Bolt down              ,                                                                                    ,
0     , Bottom  , 1404      , Bottom out             ,                                                                                    ,
0     , Branch  , 5389      , Branch out             ,                                                                                    ,
0     , Bubble  , 4571      , Bubble over            ,                                                                                    ,
0     , Buck    , 3165      , Buck up                ,                                                                                    ,
0     , Buckle  , 8135      , Buckle up              , пристегнуться                                                                      , Ever since then I buckle up.
0     , Buckle  , 8209      , Buckle down            ,                                                                                    ,
0     , Build   , 1766      , Build on               , нарастить/развить                                                                  , Use every chance to build on your skills.
0     , Build   , 1792      , Build up               ,                                                                                    ,
0     , Bump    , 4398      , Bump into              ,                                                                                    ,
0     , Burn    , 1678      , Burn out               , выгореть/перегореть                                                                , "If you don't want to burn out                                                                                                                      , don't work."
0     , Burn    , 1686      , Burn up                ,                                                                                    ,
0     , Burn    , 1760      , Burn down              , сгореть/сжечь (полностью)                                                          , The house was burned down for a scene in the movie.
0     , Cancel  , 2596      , Cancel out             ,                                                                                    ,
1     , Carry   , 1482      , Carry on               , продолжать                                                                         , "Unh                                                                                                                                                , sorry. Please carry on."
1     , Carry   , 1500      , Carry out              , выполнять                                                                          , "Now go and carry out the order."
0     , Carry   , 1573      , Carry over             ,                                                                                    ,
0     , Carry   , 1596      , Carry off              ,                                                                                    ,
0     , Cheer   , 2859      , Cheer up               , взбодриться                                                                        , "Cheer up people                                                                                                                                    , it's not that bad."
0     , Chew    , 5720      , Chew out               ,                                                                                    ,
0     , Chew    , 5728      , Chew up                ,                                                                                    ,
0     , Chicken , 1601      , Chicken out            ,                                                                                    ,
1     , Chill   , 2932      , Chill out              , расслабляться                                                                      , Just chill out and enjoy the moment.
0     , Chop    , 4006      , Chop up                , порезать (на кусочки)                                                              , Get a knife. Chop up the vegetables. Make a salad.
0     , Clam    , 9665      , Clam up                ,                                                                                    ,
0     , Clock   , 2158      , Clock in               ,                                                                                    ,
0     , Clock   , 2189      , Clock out              ,                                                                                    ,
0     , Clock   , 2285      , Clock off              ,                                                                                    ,
0     , Cook    , 2209      , Cook away              ,                                                                                    ,
0     , Copy    , 1636      , Copy out               ,                                                                                    ,
0     , Crack   , 2376      , Crack on               ,                                                                                    ,
0     , Crack   , 2394      , Crack out              ,                                                                                    ,
0     , Crack   , 2402      , Crack up               ,                                                                                    ,
0     , Crack   , 2476      , Crack down             ,                                                                                    ,
0     , Crack   , 2502      , Crack down on          ,                                                                                    ,
0     , Crop    , 8254      , Crop out               ,                                                                                    ,
0     , Cross   , 1495      , Cross out              , вычеркнуть                                                                         , One more day has gone. Cross it out.
0     , Cross   , 1568      , Cross over             ,                                                                                    ,
0     , Cross   , 1591      , Cross off              ,                                                                                    ,
0     , Cry     , 1473      , Cry out for            ,                                                                                    ,
0     , Cry     , 1552      , Cry off                ,                                                                                    ,
0     , Dose    , 6356      , Dose up (UK)           ,                                                                                    ,
0     , Doze    , 1000140   , Doze off               ,                                                                                    ,
0     , Draw    , 2175      , Draw in                ,                                                                                    ,
0     , Draw    , 2188      , Draw on                ,                                                                                    ,
0     , Draw    , 2206      , Draw out               ,                                                                                    ,
1     , Draw    , 2214      , Draw up                , составлять/разрабатывать                                                           , "Let's draw up a scheme and discuss the matter."
0     , Drone   , 1000026   , Drone on               ,                                                                                    ,
1     , Dry     , 1641      , Dry out                , высохнуть                                                                          , "Hang up your overcoat until it dries out."
0     , Dry     , 1649      , Dry up                 , пересохнуть/иссякнуть                                                              , The river dried up. We can easily get to the city.
0     , Duck    , 3084      , Duck out               ,                                                                                    ,
0     , Ferret  , 1000044   , Ferret out             ,                                                                                    ,
0     , Ferret  , 1000186   , Ferret around          ,                                                                                    ,
1     , Fill    , 1499      , Fill in                , заполнить/вписывать                                                                , "Filling in blanks is the most boring thing."
0     , Fill    , 1516      , Fill in for            ,                                                                                    ,
0     , Fill    , 1530      , Fill out               , заполнить                                                                          , Fill out form.
1     , Fill    , 1538      , Fill up                , наполнять                                                                          , "The cup must be filled up to the brim."
0     , Fish    , 1350      , Fish for               ,                                                                                    ,
0     , Fish    , 1377      , Fish out               ,                                                                                    ,
0     , Fit     , 1337      , Fit in                 ,                                                                                    ,
0     , Fit     , 1376      , Fit up                 ,                                                                                    ,
1     , Fit     , 1478      , Fit into               , вместить/втиснуть                                                                  , "Can you fit everything into that little box?"
0     , Force   , 1238      , Force out              ,                                                                                    ,
0     , Fork    , 5229      , Fork out               ,                                                                                    ,
0     , Fry     , 5136      , Fry up                 ,                                                                                    ,
0     , Gear    , 4266      , Gear up                ,                                                                                    ,
0     , Grow    , 1477      , Grow up                , вырастать                                                                          , The puppy grew up to be a very nice dog.
0     , Grow    , 2399      , Grow apart             ,                                                                                    ,
0     , Hash    , 8448      , Hash out               ,                                                                                    ,
0     , Horse   , 1868      , Horse around           ,                                                                                    ,
0     , Join    , 1059      , Join in                ,                                                                                    ,
0     , Jump    , 1309      , Jump in                , вмешаться                                                                          , "One of them wants to jump in                                                                                                                       , the other one doesn't."
0     , Jump    , 1322      , Jump on                ,                                                                                    ,
0     , Jump    , 1340      , Jump out               ,                                                                                    ,
0     , Jump    , 1348      , Jump up                ,                                                                                    ,
0     , Jump    , 1355      , Jump at                , ухватиться (за возможность)                                                        , We jumped at the chance to travel for free.
0     , Jump    , 1422      , Jump down              ,                                                                                    ,
0     , Jump    , 1436      , Jump off               ,                                                                                    ,
0     , Jump    , 1482      , Jump around            ,                                                                                    ,
0     , Kick    , 1214      , Kick in                ,                                                                                    ,
0     , Kick    , 1245      , Kick out               ,                                                                                    ,
0     , Kick    , 1253      , Kick up                ,                                                                                    ,
0     , Kick    , 1279      , Kick back              , расслабиться                                                                       , Take a day off and kick back.
0     , Kick    , 1327      , Kick down              ,                                                                                    ,
0     , Kick    , 1341      , Kick off               , сбросить;стартовать                                                                , "Did they kick Giselle off?;The nib is loaded                                                                                                       , then I kick off the download."
0     , Kick    , 1387      , Kick around            , обсудить (разг.)                                                                   , I think it's a good idea. Let's kick it around.
0     , Knock   , 1286      , Knock about            ,                                                                                    ,
0     , Knock   , 1291      , Knock out              , вырубить (ударом)                                                                  , Ali knocked him out in the first round.
0     , Knock   , 1299      , Knock up               ,                                                                                    ,
0     , Knock   , 1325      , Knock back             ,                                                                                    ,
0     , Knock   , 1364      , Knock over             ,                                                                                    ,
0     , Knock   , 1373      , Knock down             , снести/сбить                                                                       , The Berlin wall was knocked down on November 9.
0     , Knock   , 1387      , Knock off              , сбить/скосить/опровергнуть                                                         , "Unfortunately                                                                                                                                      , the shirt's not on sale                                                                        , but I can knock off 5%."
0     , Knock   , 1395      , Knock it off           ,                                                                                    ,
0     , Knock   , 1467      , Knock together         , слепить/соорудить                                                                  , Today I'll show you how to knock together a table.
0     , Lark    , 1000225   , Lark about/around (UK) ,                                                                                    ,
0     , Lay     , 1462      , Lay on                 ,                                                                                    ,
0     , Lay     , 1480      , Lay out                , выложить/разложить                                                                 , Lay out your goods for all to see.
0     , Lay     , 1488      , Lay (laid) up          ,                                                                                    ,
0     , Lay     , 1488      , Lay up                 ,                                                                                    ,
0     , Lay     , 1562      , Lay down               , установить (правило/норму)                                                         , The boss laid down a fierce set of rules.
0     , Lay     , 1567      , Lay by                 ,                                                                                    ,
0     , Lay     , 1576      , Lay off                , уволить/сократить                                                                  , The government laid off 1/3 of its civil servants.
0     , Lay     , 2671      , Lay low                , залечь/притаиться                                                                  , Best places to lie low.
0     , Lead    , 1087      , Lead in                ,                                                                                    ,
0     , Lead    , 1214      , Lead off               ,                                                                                    ,
0     , Lean    , 4005      , Lean on                ,                                                                                    ,
0     , Leech   , 1000140   , Leech off              ,                                                                                    ,
0     , Level   , 1637      , Level off              ,                                                                                    ,
0     , Lift    , 2256      , Lift up                ,                                                                                    ,
0     , Lighten , 4706      , Lighten up             ,                                                                                    ,
0     , Lock    , 1477      , Lock in                ,                                                                                    ,
0     , Lock    , 1508      , Lock out               ,                                                                                    ,
0     , Lock    , 1516      , Lock up                , посадить в тюрьму или дурку                                                        , No wonder she was locked up.
0     , Log     , 4642      , Log in                 ,                                                                                    ,
0     , Log     , 4655      , Log on                 ,                                                                                    ,
0     , Log     , 4673      , Log out                ,                                                                                    ,
0     , Mix     , 2688      , Mix in                 ,                                                                                    ,
0     , Mix     , 2727      , Mix up                 , перепутать                                                                         , Don't mix up the gifts.
0     , Monkey  , 2223      , Monkey with            ,                                                                                    ,
0     , Monkey  , 2378      , Monkey around          ,                                                                                    ,
0     , Mop     , 8852      , Mop up                 ,                                                                                    ,
0     , Narrow  , 5821      , Narrow down            ,                                                                                    ,
0     , Note    , 1487      , Note down              ,                                                                                    ,
0     , Pack    , 1592      , Pack out               ,                                                                                    ,
0     , Pack    , 1600      , Pack up                ,                                                                                    ,
0     , Pack    , 1688      , Pack off               ,                                                                                    ,
0     , Pack    , 1717      , Pack away              ,                                                                                    ,
0     , Peel    , 5868      , Peel off               ,                                                                                    ,
0     , Phase   , 3724      , Phase in               ,                                                                                    ,
0     , Phase   , 3755      , Phase out              ,                                                                                    ,
0     , Plough  , 1000078   , Plough back            ,                                                                                    ,
0     , Plough  , 1000208   , Plough through         ,                                                                                    ,
0     , Pop     , 1512      , Pop into               ,                                                                                    ,
0     , Pour    , 3959      , Pour out               ,                                                                                    ,
0     , Press   , 1212      , Press out              ,                                                                                    ,
0     , Put     , 1000185   , Put asunder            ,                                                                                    ,
0     , Queue   , 1000568   , Queue up/line up       ,                                                                                    ,
0     , Quiet   , 1057      , Quiet down             ,                                                                                    ,
0     , Rabbit  , 4216      , Rabbit on (UK)         ,                                                                                    ,
0     , Rat     , 2623      , Rat on                 ,                                                                                    ,
0     , Rely    , 6457      , Rely on                ,                                                                                    ,
0     , Rip     , 2695      , Rip off                , обмануть/ободрать                                                                  , He ripped me off by taking the longest route.
0     , Roll    , 1413      , Roll in                ,                                                                                    ,
0     , Roll    , 1444      , Roll out               ,                                                                                    ,
0     , Roll    , 1452      , Roll up                , свернуть/скатать                                                                   , Roll up your sleeves and get down to work.
0     , Roll    , 1517      , Roll over              ,                                                                                    ,
0     , Roll    , 1586      , Roll around            ,                                                                                    ,
0     , Round   , 1584      , Round out              ,                                                                                    ,
0     , Rule    , 1725      , Rule in                ,                                                                                    ,
0     , Rule    , 1756      , Rule out               ,                                                                                    ,
0     , Rush    , 1858      , Rush off               ,                                                                                    ,
0     , Scale   , 4900      , Scale back             ,                                                                                    ,
0     , Scare   , 1835      , Scare off              ,                                                                                    ,
0     , Scarf   , 4785      , Scarf down             ,                                                                                    ,
0     , Sell    , 1187      , Sell out               ,                                                                                    ,
0     , Sell    , 1269      , Sell down              ,                                                                                    ,
0     , Settle  , 1715      , Settle in              , освоиться                                                                          , He quickly settled in and now feels himself at home.
0     , Settle  , 1719      , Settle for             , согласиться на                                                                     , My cat never settles for human food.
0     , Settle  , 1728      , Settle on              , определиться с                                                                     , Now we have to settle on the route.
1     , Settle  , 1828      , Settle down            , остепениться/расположиться/обустроиться;успокаиваться                              , "How dull men are when they decide to settle down!;He'll settle down when the weather changes."
0     , Shade   , 8144      , Shade up               ,                                                                                    ,
0     , Shake   , 2135      , Shake up               , встряхнуть/взбудоражить                                                            , The morning news shook up the city.
0     , Shake   , 2223      , Shake off              , отделаться                                                                         , Hit the gas to shake off the dog.
0     , Shop    , 1580      , Shop around            ,                                                                                    ,
0     , Shower  , 1514      , Shower with            ,                                                                                    ,
0     , Sing    , 1915      , Sing along             ,                                                                                    ,
0     , Sink    , 3428      , Sink in                ,                                                                                    ,
0     , Skip    , 2763      , Skip out               ,                                                                                    ,
0     , Slack   , 4344      , Slack off              ,                                                                                    ,
0     , Slice   , 5350      , Slice off              ,                                                                                    ,
0     , Slide   , 4072      , Slide off              ,                                                                                    ,
0     , Slip    , 2136      , Slip on                ,                                                                                    ,
0     , Slow    , 1308      , Slow down              , замедлиться                                                                        , I slowed down to let the dogs pass.
0     , Smoke   , 1722      , Smoke out              ,                                                                                    ,
0     , Smooth  , 3229      , Smooth down            ,                                                                                    ,
0     , Speed   , 2031      , Speed up               , ускориться                                                                         , 'Stop speeding up!' she yelled.
0     , Spell   , 1219      , Spell out              , разъяснить                                                                         , Let me spell this out once more.
0     , Splash  , 8145      , Splash out             , сорить деньгами/выплеснуть                                                         , It has also helped the 26-year-old boost her savings and splash out more on trips and dining out.
0     , Split   , 1727      , Split up               , разделиться                                                                        , We have to split up to find her as soon as possible.
1     , Spread  , 2811      , Spread out             , распространяться/простираться/рассыпаться                                          , "Wild grasses spread out far across the plains."
0     , Spring  , 2182      , Spring for             ,                                                                                    ,
0     , Spring  , 2191      , Spring on              ,                                                                                    ,
0     , Spring  , 2243      , Spring back            ,                                                                                    ,
0     , Spring  , 2300      , Spring from            ,                                                                                    ,
0     , Spring  , 2300      , Spring up              ,                                                                                    ,
0     , Stake   , 2476      , Stake out              ,                                                                                    ,
0     , Stock   , 2260      , Stock up               ,                                                                                    ,
0     , Sump    , 1000052   , Sump up                ,                                                                                    ,
0     , Swell   , 4153      , Swell up               ,                                                                                    ,
0     , Thaw    , 1000044   , Thaw out               ,                                                                                    ,
0     , Tip     , 2174      , Tip off                ,                                                                                    ,
0     , Warm    , 1361      , Warm up                , разогреть                                                                          , I'm going to warm up something.
0     , Wash    , 2361      , Wash out               ,                                                                                    ,
0     , Wash    , 2369      , Wash up                , умыться;помыть посуду                                                              , After waking I washed up in the river.;Whose turn is it to wash up?
0     , Wash    , 2434      , Wash over              ,                                                                                    ,
0     , Wash    , 2443      , Wash down              , запивать                                                                           , We eat fruits and wash them down with palm wine.
0     , Wash    , 2457      , Wash off               ,                                                                                    ,
0     , Wash    , 2486      , Wash away              ,                                                                                    ,
0     , Weigh   , 6130      , Weigh up (UK)          ,                                                                                    ,
0     , Whip    , 2521      , Whip up                ,                                                                                    ,
0     , Wipe    , 3699      , Wipe out               , уничтожить                                                                         , Every living thing on the earth will be wiped out.
0     , Wipe    , 3707      , Wipe up                ,                                                                                    ,
0     , Wipe    , 3781      , Wipe down              ,                                                                                    ,
0     , Wipe    , 3824      , Wipe away              ,                                                                                    ,
0     , Wolf    , 3011      , Wolf down              ,                                                                                    ,
0     , Worm    , 5699      , Worm out of            ,                                                                                    ,
0     , Wrap    , 3110      , Wrap up                ,                                                                                    ,
0     , Wrestle , 8674      , Wrestle with           ,                                                                                    ,
0     , Yield   , 1000052   , Yield up               ,                                                                                    ,
0     , Zip     , 5472      , Zip up                 ,                                                                                    ,
1     , Add     , 999999999 , Add up                 , сумиировать                                                                        , "The numbers don't add up                                                                                                                           , we must have made a mistake."
1     , Add     , 999999999 , Add on                 , добавить (к чему-то)                                                               , There's your sick father added on.
0     , Switch  , 999999999 , Switch off             , выключать                                                                          ,
0     , Switch  , 999999999 , Switch on              , включать                                                                           ,
0     , Wind    , 999999999 , Wind up                , очутиться/оказаться;завершиться чем-л.                                             ,
0     , Shoot   , 999999999 , Shoot out              , выскочить/вылететь                                                                 ,
0     , Pull    , 999999999 , Pull a way             , отъезжать/трогаться;отпрянуть/отстраниться                                         ,

0,Back,999999999,Back away,отступать/пятиться,
1,Break,999999999,Break down,ломаться/разбиться,"The car broke down and they had to push it."
0,Break,999999999,Break in,вмешиваться в разговор;врываться/вламываться,
0,Break,999999999,Break into,вламываться;озариться;разразиться;броситься,
0,Break,999999999,Break off,прервать(ся);отделить(ся),
0,Break,999999999,Break out,вырваться;вспыхивать;разразиться,
0,Break,999999999,Break up,прекращать;расставаться;расходиться,
0,Burst,999999999,Burst out,воскликнуть;разразиться (смехом и т.п.);вырваться,
0,Calm,999999999,Calm down,успокаивать(ся),
0,Carry,999999999,Carry on,продолжать заниматься чем-л.,
0,Carry,999999999,Carry out,выполнять/осуществлять (план/приказ/обещание ит.п.),
0,Catch,999999999,Catch up,догнать/настичь/наверстать,
0,Clean,999999999,Clean up,чистить(ся)/убирать(ся)/приводить в порядок,
0,Count,999999999,Count on,рассчитывать на что-л./кого-л.,
0,End,999999999,End up,кончить/закончить/попасть/оказаться,
0,Fall,999999999,Fall down,падать/упасть/рухнуть,
0,Fall,999999999,Fall off,падать;отпадать/отваливаться,
0,Figure,999999999,Figure out,сообразить/выяснить/понять/разобраться,
0,Give,999999999,Give up,сдаться/отказаться;оставить/бросить;отдавать,
0,Go,999999999,Go along,соглашаться/поддерживать;идти вместе/сопровождать,
0,Go,999999999,Go around,расхаживать повсюду;обойти вокруг;двигатьсяпо кругу,
0,Go,999999999,Go away,уходить/уезжать,
0,Go,999999999,Go back,возвращаться,
0,Go,999999999,Go by,проходить/проезжать мимо;проходить (о времени),
0,Go,999999999,Go down,спускаться/идти/ехать вниз,
0,Go,999999999,Go in,входить,
0,Go,999999999,Go out,выходить,
0,Go,999999999,Go over,подойти/приехать;повторять/перепроверять,
0,Go,999999999,Go through,пройти через/сквозь;повторять;тщательноизучать,
0,Go,999999999,Go up,подниматься,
0,Grow,999999999,Grow up,вырастать/становиться взрослым,

0,Hang,999999999,Hang around,слоняться/бездельничать/болтаться без дела,
0,Hang,999999999,Hang on,держи(те)сь!;подожди(те)!;цепляться/хвататься,
0,Hang,999999999,Hang up,повесить/положить трубку;висеть;повеситьчто-л.,
0,Help,999999999,Help out,помочь/выручить/вывести из затруднит. положения,
0,Hold,999999999,Hold on,держи(те)сь!;подожди(те);держаться/вцепиться,
0,Hold,999999999,Hold out,протягивать/вытягивать,
0,Hold,999999999,Hold up,поднимать,
0,Keep,999999999,Keep on,продолжать,
0,Keep,999999999,Keep up,не отставать;продолжать;поддерживать,
0,Knock,999999999,Knock down,сбить с ног;сносить/разрушать;понижать,
0,Knock,999999999,Knock off,уничтожить;прекратить;уронить/сбросить,
0,Knock,999999999,Knock out,оглушить/вырубить;поразить;выбить,
0,Let,999999999,Let in,впускать,
0,Let,999999999,Let out,выпускать/освобождать,
0,Lie,999999999,Lie down,лечь/прилечь,
0,Line,999999999,Line up,выстраивать(ся)/становиться в линию/ряд/очередь,
0,Look,999999999,Look after,присматривать,
0,Look,999999999,Look along,смотреть вдоль,
0,Look,999999999,Look back,оглядываться/оборачиваться,
0,Look,999999999,Look down,смотреть/смотреть вниз,
0,Look,999999999,Look for,искать/подыскивать;присматривать,
0,Look,999999999,Look forward to,ожидать с удовольствием/с нетерпением,
0,Look,999999999,Look out,выглядывать;быть осторожным,
0,Look,999999999,Look over,смотреть;просматривать;осматривать,
0,Make,999999999,Make out,понимать/различать;составлять;справляться,
0,Make,999999999,Make up,составлять;сочинять;компенсировать,
0,Move,999999999,Move in,въезжать/поселяться;входить,
0,Move,999999999,Move on,идти дальше;продолжать движение,
1,Freeze,999999999,Freeze up,заморозить,"All the pipes in the house have been frozen up."
